CV,CV_READING,CHARA,CHARA_READING
杨梦露,Ada,九色鹿,くしきろく
Christopher J. Domig,ChristopherJDomig,Blitz,ぶりっつ
Julie Tamiko Manning,JulieTamikoManning,Frost,ふろすと
KENN,KENN,ヴィジル,ゔぃじる
Patricia Summersett,PatriciaSummersett,Ash,あっしゅ
Vlad Stokanic,VladStokanic,Tachanka,たちゃんか
かかずゆみ,かかずゆみ,ハーモニー,はーもにー
ゆかな,ゆかな,シー,しー
ゆきのさつき,ゆきのさつき,ジャスティスナイト,じゃすてぃすないと
ルゥティン,るぅてぃん,ファイヤーウォッチ,ふぁいやーうぉっち
ルゥティン,るぅてぃん,ヘイズ,へいず
三宅麻理恵,みやけまりえ,セイリュウ,せいりゅう
三木眞一郎,みきしんいちろ,リー,りー
三森すずこ,みもりすずこ,ファートゥース,ふぁーとぅーす
三瓶由布子,さんぺいゆうこ,ア,あ
上田瞳,うえだひとみ,アッシュロック,あっしゅろっく
上田麗奈,うえだれいな,ロサ,ろさ
下地紫野,しもじしの,テンニンカ,てんにんか
下田麻美,しもだあさみ,Lancet-2,らんせっとつー
下田麻美,しもだあさみ,ヴィグナ,ゔぃぐな
中井和哉,なかいかずや,マウンテン,まうんてん
中原麻衣,なかはらまい,ブレイズ,ぶれいず
中島唯,なかじまゆい,アシッドドロップ,あしっどどろっぷ
中村悠一,なかむらゆういち,エンカク,えんかく
中野さいま,なかのさいま,トゥイエ,とぅいえ
久保ユリカ,くぼゆりか,クロワッサン,くろわっさん
久保田梨沙,くぼたりさ,ルナカブ,るなかぶ
久川綾,ひさかわあや,イェラ,いぇら
亀谷理子,かめがいあやこ,ロベルタ,ろべるた
井上ほの花,いのうえほのか,ハニーベリー,はにーべりー
井上喜久子,いのうえきくこ,リィン,りぃん
井上麻里奈,いのうえまりな,パラス,ぱらす
井口裕香,いぐちゆか,サリア,さりあ
井口裕香,いぐちゆか,ハイビスカス,はいびすかす
井口裕香,いぐちゆか,濯塵ハイビスカス,たくじんはいびすかす
今井麻美,いまいあさみ,ラップランド,らっぷらんど
仙台エリ,せんだいえり,トギフォンス,とぎふぉんす
伊瀬茉莉也,いせまりや,マゼラン,まぜらん
伊藤彩沙,いとうあやさ,ビーンストーク,びーんすとーく
伊藤静,いとうしずか,シュヴァルツ,しゅゔぁるつ
佐倉綾音,さくらあやね,ゴールデングロー,ごーるでんぐろー
佐倉綾音,さくらあやね,ニアール,にあーる
佐倉綾音,さくらあやね,耀騎士ニアール,ようきしにあーる
佐倉薫,さくらかおる,アンドレアナ,あんどれあな
佐藤元,さとげん,カニパラート,かにぱらーと
佐藤利奈,さとうりな,ヴァルカン,ゔぁるかん
佐藤利奈,さとうりな,スカジ,すかじ
佐藤利奈,さとうりな,濁心スカジ,だくしんすかじ
佐藤拓也,さとうたくや,12F,とぅえるぶえふ
佐藤拓也,さとうたくや,ミッドナイト,みっどないと
佐藤聡美,さとうさとみ,ドロシー,どろしー
優木かな,ゆうきかな,ミルラ,みるら
優木かな,ゆうきかな,ギターノ,ぎたーの
八代拓,やしろたく,ウインドフリット,ういんどふりっと
内山夕実,うちやまゆみ,アカフユ,あかふゆ
内田真礼,うちだまあや,マドロック,まどろっく
加隈亜衣,かくまあい,フランカ,ふらんか
加隈亜衣,かくまあい,フロストリーフ,ふろすとりーふ
北島瑞月,きたじまみずき,プラチナ,ぷらちな
千菅春香,ちすがはるか,ロックロック,ろっくろっく
千葉翔也,ちばしょや,チェストナット,ちぇすとなっと
原優子,はらゆうこ,インドラ,いんどら
原優子,はらゆうこ,ビーハンター,びーはんたー
原優子,はらゆうこ,メランサ,めらんさ
吉岡茉祐,よしおかまゆ,ウタゲ,うたげ
吉野裕行,よしのひろゆき,イーサン,いーさん
名塚佳織,なずかかおり,アステシア,あすてしあ
喜多村英梨,きたむらえり,カーネリアン,かーねりあん
喜多村英梨,きたむらえり,ビーズワクス,びーずわくす
園崎未恵,そのざきみえ,エフイーター,えふいーたー
堀江由衣,ほりえゆい,スルト,すると
大下菜摘,おしたなつみ,ハイモア,はいもあ
大原さやか,おはらさやか,ツキノギ,つきのぎ
大原さやか,おはらさやか,ペナンス,ぺなんす
大和田仁美,おおわだひとみ,ミント,みんと
大地葉,たいちよう,スカベンジャー,すかべんじゃー
大地葉,たいちよう,ディピカ,でぃぴか
大橋彩香,おはしあやか,アンジェリーナ,あんじぇりーな
大津愛理,おおつあいり,オーキッド,おーきっど
大津愛理,おおつあいり,マトイマル,まといまる
天野聡美,あまのさとみ,シーン,しーん
安元洋貴,やすもとひろき,ツェルニー,つぇるにー
安済知佳,あんざいちか,パゼオンカ,ぱぜおんか
安野希世乃,やすのきよの,ホシグマ,ほしぐま
富田美憂,とみたみゆ,カフカ,かふか
寺島拓篤,てらしまたくま,ステインレス,すていんれす
小倉唯,おぐらゆい,ロスモンティス,ろすもんてぃす
小原莉子,こはらりこ,マルベリー,まるべりー
小山力也,こやまりきや,ムリナール,むりなーる
小林ゆう,こばやしゆう,ワイフー,わいふー
小林沙苗,こばやしさなえ,サガ,さが
小林裕介,こばやしゆすけ,ルーメン,るーめん
小林親弘,こばやしちかひろ,トター,とたー
小清水亜美,こしみずあみ,ズィマー,ずぃまー
小清水亜美,こしみずあみ,レッド,れっど
小西克幸,こにしかつゆき,シルバーアッシュ,しるばーあっしゅ
小野友樹,おのゆうき,シェーシャ,しぇーしゃ
小野涼子,おのりょうこ,ロビン,ろびん
小野賢章,おのけんしょ,エンフォーサー,えんふぉーさー
山岡ゆり,やまおかゆり,コンビクション,こんびくしょん
山崎はるか,やまざきはるか,グラニ,ぐらに
山本希望,やまもとのぞみ,エステル,えすてる
山村響,やまむらひびく,フリント,ふりんと
岸尾だいすけ,きしおだいすけ,コロセラム,ころせらむ
島﨑信長,しまざきのぶなが,テキーラ,てきーら
川原元幸,かわはらもとゆき,Stormeye,Ｓｔｏｒｍｅｙｅ
川澄綾子,かわすみあやこ,シージ,しーじ
平川大輔,ひらかわだいすけ,クーリエ,くーりえ
平野綾,ひらのあや,フレイムテイル,ふれいむている
広橋涼,ひろはしりょう,ジェシカ,じぇしか
広橋涼,ひろはしりょう,ショウ,しょう
影山灯,かげやまあかり,ドゥリン,どぅりん
影山灯,かげやまあかり,プロヴァンス,ぷろゔぁんす
後藤沙緒里,ごとうさおり,ウィスパーレイン,うぃすぱーれいん
徳井青空,とくいそら,スワイヤー,すわいやー
悠木碧,ゆうきあおい,アーススピリット,あーすすぴりっと
悠木碧,ゆうきあおい,イースチナ,いーすちな
悠木碧,ゆうきあおい,ニェン,にぇん
戸松遥,とまつはるか,サイラッハ,さいらっは
折笠富美子,おりかさふみこ,フィアメッタ,ふぃあめった
斉藤佑圭,さいとうゆか,カンタービレ,かんたーびれ
斉藤壮馬,さいとうそうま,レオンハルト,れおんはると
斎藤千和,さいとうちわ,メイヤー,めいやー
日笠陽子,ひかさようこ,ケルシー,けるしー
日野聡,ひのさとし,ウン,うん
早見沙織,はやみさおり,プラマニクス,ぷらまにくす
明坂聡美,あけさかさとみ,オーロラ,おーろら
春村奈々,はるむらなな,シラユキ,しらゆき
春村奈々,はるむらなな,ビーグル,びーぐる
春野杏,はるのあんず,キララ,きらら
本多真梨子,ほんだまりこ,カゼマル,かぜまる
本渡楓,ほんどかえで,スズラン,すずらん
杉浦しおり,すぎうらしおり,バニラ,ばにら
村中知,むらなかとも,ワイルドメイン,わいるどめいん
村川梨衣,むらかわりえ,アブサント,あぶさんと
村瀬歩,むらせあゆむ,ミヅキ,みづき
松岡禎丞,まつおかよしつぐ,アレーン,あれーん
柚木涼香,ゆずきりょうか,Touch,たっち
桑原由気,くわはらゆうき,シデロカ,しでろか
桑島法子,くわしまほうこ,ユーネクテス,ゆーねくてす
桜咲千依,おうさきちよ,ポプカル,ぽぷかる
