cv_name,cv_name_read,chara
春瀬なつみ,はるせ なつみ,龍崎薫
佐倉薫,さくら かおる,黒埼ちとせ
M・A・O,まお,鷺沢文香
森下来奈,もりした らな,鷹富士茄子
金子有希,かねこ ゆうき,高森藍子
早見沙織,はやみ さおり,高垣楓
伊達朱里紗,だて ありさ,難波笑美
会沢紗弥,あいざわ さや,関裕美
新田ひより,にった ひより,道明寺歌鈴
花谷麻妃,はなたに まき,遊佐こずえ
飯田友子,いいだ ゆうこ,速水奏
梅澤めぐ,うめざわ めぐ,辻野あかり
竹達彩奈,たけたつ あやな,輿水幸子
黒沢ともよ,くろさわ ともよ,赤城みりあ
松嵜麗,まつざき れい,諸星きらり
安齋由香里,あんざい ゆかり,西園寺琴歌
金子真由美,かねこ まゆみ,藤本里奈
鈴木みのり,すずき みのり,藤原肇
田辺留依,たなべ るい,荒木比奈
嘉山未紗,かやま みさ,脇山珠美
大空直美,おおぞら なおみ,緒方智絵里
小市眞琴,こいち まこと,結城晴
松井恵理子,まつい えりこ,神谷奈緒
内田真礼,うちだ まあや,神崎蘭子
富田美憂,とみた みゆ,砂塚あきら
木村珠莉,きむら じゅり,相葉夕美
集貝はな,ためがい はな,的場梨沙
関口理咲,せきぐち りさ,白雪千夜
天野聡美,あまの さとみ,白菊ほたる
桜咲千依,おうさき ちよ,白坂小梅
和氣あず未,わき あずみ,片桐早苗
福原綾香,ふくはら あやか,渋谷凛
田澤茉純,たざわ ますみ,浜口あやめ
井上ほの花,いのうえ ほのか,浅利七海
藤田茜,ふじた あかね,水本ゆかり
照井春佳,てるい はるか,櫻井桃華
佐藤亜美菜,さとう あみな,橘ありす
都丸ちよ,とまる ちよ,椎名法子
高橋花林,たかはし かりん,森久保乃々
藤本彩花,ふじもと あやか,棟方愛海
河瀬茉希,かわせ まき,桐生つかさ
千菅春香,ちすが はるか,松永涼
花井美春,はない みはる,村上巴
原紗友里,はら さゆり,本田未央
安野希世乃,やすの きよの,木村夏樹
原涼子,はら すずこ,望月聖
松田颯水,まつだ さつみ,星輝子
朝井彩加,あさい あやか,早坂美玲
赤﨑千夏,あかさき ちなつ,日野茜
洲崎綾,すざき あや,新田美波
久野美咲,くの みさき,市原仁奈
東山奈央,とうやま なお,川島瑞樹
大橋彩香,おおはし あやか,島村卯月
長野佑紀,ながの ゆき,小関麗奈
立花理香,たちばな りか,小早川紗枝
津田美波,つだ みなみ,小日向美穂
髙野麻美,たかの あさみ,宮本フレデリカ
三宅麻理恵,みやけ まりえ,安部菜々
杜野まこ,もりの まこ,姫川友紀
山下七海,やました ななみ,大槻唯
村中知,むらなか とも,大和亜季
星希成奏,ほしき せえな,夢見りあむ
青木瑠璃子,あおき るりこ,多田李衣菜
ルゥ ティン,るぅ てぃん,塩見周子
鈴木絵理,すずき えり,堀裕子
山本希望,やまもと のぞみ,城ヶ崎莉嘉
佳村はるか,よしむら はるか,城ヶ崎美嘉
武田羅梨沙多胡,たけだ らりさ たご,喜多見柚
深川芹亜,ふかがわ せりあ,喜多日菜子
原優子,はら ゆうこ,向井拓海
五十嵐裕美,いがらし ひろみ,双葉杏
のぐちゆり,のぐち ゆり,及川雫
神谷早矢佳,かみたに さやか,南条光
佐藤利奈,さとう りな,千川ちひろ
原田ひとみ,はらだ ひとみ,十時愛梨
渕上舞,ふちがみ まい,北条加蓮
高森奈津美,たかもり なつみ,前川みく
二ノ宮ゆい,にのみや ゆい,八神マキノ
高田憂希,たかだ ゆうき,依田芳乃
花守ゆみり,はなもり ゆみり,佐藤心
中澤ミナ,なかざわ みな,佐城雪美
牧野由依,まきの ゆい,佐久間まゆ
今井麻夏,いまい あさか,佐々木千枝
種﨑敦美,たねざき あつみ,五十嵐響子
青木志貴,あおき しき,二宮飛鳥
中島由貴,なかしま ゆき,乙倉悠貴
長江里加,ながえ りか,久川颯
立花日菜,たちばな ひな,久川凪
下地紫野,しもじ しの,中野有香
春野ななみ,はるの ななみ,上田鈴帆
長島光那,ながしま みな,上条春菜
原田彩楓,はらだ さやか,三船美優
大坪由佳,おおつぼ ゆか,三村かな子
藍原ことみ,あいはら ことみ,一ノ瀬志希
藤村歩,ふじむら あゆみ,ルーキートレーナー
佐倉綾音,さくら あやね,トレーナー
,,ベテラントレーナー
,,マスタートレーナー
生田輝,いくた てる,ナターリア
上坂すみれ,うえさか すみれ,アナスタシア
